hcp_id,hcp_specialty,t1_diag_pat,t1_treated_pat,total_unique_pat_treated,unique_cancer_treated,t1_nps,t1_platinum_pat,t1_platinum_pat_1L,comp_a_claims,comp_r_claims,comp_z_claims,t1_pat_1L,t1_pat_2Lplus,t1_calls,t2_calls,t1_avg_gap,t2_avg_gap,Display_Impressions,Email_Opens,e-Newsletters_Opens,e-Newsletters_Sent,Display- eNewsletters_Sent,In App_Impressions,In-office Video/ Wallboards_Deli,Email_Delivered_EM,Direct Mail_Delivered_DM,Display- Targeted/Programmatic_I,Text Ad_Clicks,admisson_impressions,print_exposure,ABC_t1_nps
86,Oncology,146,54,64,4,17,29,16,45,6,0,17,24,23,2.5,16.65,0,0,0,0,0,0,0,0,7,1,0,0,54,0,0
87,Gynecology,148,54,58,6,4,24,9,82,2,0,9,25,17,0.5,76.5,0,0,0,0,0,3,0,0,0,1,0,0,33,0,0
88,Gynecology,187,53,82,7,12,38,25,53,0,0,26,23,17,0,17.6,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0
89,Oncology,174,53,303,7,11,25,16,135,0,0,18,21,2,1,0,0,0,0,0,7,7,0,0,0,1,0,0,61,0.119489724,1
90,Gynecology,350,53,137,8,18,30,17,28,0,0,20,26,11,0.5,132,0,0,0,0,4,0,0,0,0,0,0,1,92,0,0
91,Gynecology,185,52,66,4,19,30,21,32,0,13,31,15,10,0,217.375,0,0,0,0,0,0,0,0,0,1,0,0,48,0,0
92,Oncology,99,52,776,9,3,19,8,47,0,0,17,24,3.7,15,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0.119489724,0
93,Oncology,183,52,56,4,9,9,4,116,13,10,7,16,8,0,32,0,0,1,0,4,7,0,0,3,1,0,0,5,0.119520958,1
94,Gynecology,255,52,59,3,12,33,23,102,0,26,25,22,19,2.2,42.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
95,Oncology,414,52,63,6,21,44,25,53,0,7,26,24,26,1.1,0,0,0,0,0,0,0,0,0,7,1,7,1,119,0,0
96,Oncology,348,52,132,8,14,36,21,14,0,0,24,26,37,7.5,26.51851852,0,0,2,0,8,0,0,0,3,1,0,0,0,0,0
97,Oncology,164,51,54,5,23,2,1,0,0,0,10,3,4,0,0,0,0,0,0,0,0,0,0,1,1,3,0,134,0,0
98,Others,60,51,58,5,2,24,15,27,0,0,21,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Oncology,235,51,63,6,7,31,19,124,0,0,21,23,22,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,1
100,Oncology,229,51,65,6,16,31,17,107,0,0,19,23,21.5,0,19,0,0,0,0,0,2,0,0,0,1,0,0,10,0,0
101,Oncology,239,50,54,4,11,45,23,10,0,3,24,33,12,1.5,24.33333333,0,0,0,0,0,3,0,0,1,1,4,0,9,0,1
102,Gynecology,126,50,51,2,9,0,0,0,0,0,8,4,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0
103,Oncology,108,50,55,4,10,21,11,33,1,0,12,17,16,1,34.25,0,0,0,0,0,7,0,0,4,1,0,0,41,0,0
104,Oncology,150,50,54,5,20,21,17,67,0,0,21,25,9,1.7,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0.119520958,0
105,Gynecology,193,49,55,3,23,30,25,35,0,15,29,18,12,5,15.38461538,44,0,1,0,0,0,0,0,8,1,4,0,4,0,1
106,Gynecology,211,49,57,5,16,26,18,23,0,0,18,15,14,0,151.0588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Oncology,234,48,61,6,8,30,14,65,2,7,16,28,29,0,18,0,0,0,3,8,3,0,0,2,1,0,0,396,0,1
108,Oncology,413,48,115,8,10,32,19,52,0,0,21,27,15.5,2.6,31.75,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0
109,Gynecology,284,48,58,5,21,34,25,132,0,0,25,19,11,0.6,0,0,4,0,0,0,0,0,0,7,1,4,0,40,0,0
110,Gynecology,275,48,53,3,10,23,15,41,0,9,19,26,13.5,0,17.5,0,1,0,0,4,9,0,0,0,1,0,0,6,0,0
111,Oncology,183,48,56,6,16,33,19,46,0,5,25,26,20,0,100.6666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
112,Oncology,108,47,592,9,5,22,13,100,0,0,15,31,1,0.5,0,0,31,0,0,4,0,0,21,3,1,0,0,45,0.119520958,0
113,Oncology,69,47,121,8,20,34,27,63,0,0,31,16,10.5,7.5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0.119520958,0
114,Oncology,62,47,583,9,7,29,16,71,0,0,17,30,7,6.5,0,0,0,0,3,4,1,0,10,0,0,0,0,0,0.119489724,0
115,Oncology,277,46,86,7,14,21,11,51,0,0,14,24,5,0,100.7647059,0,0,0,0,3,0,0,0,6,1,0,0,6,0,0
116,Gynecology,202,46,53,6,19,26,18,66,0,0,22,17,11,1,0,0,0,4,0,0,0,0,0,3,1,0,0,96,0,1
117,Gynecology,232,46,57,6,8,23,16,64,0,0,23,23,23,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,36,0,1
118,Gynecology,168,46,53,6,20,33,24,54,14,4,25,16,24,0.5,12.6,0,0,0,0,0,0,0,0,0,1,0,1,44,0,0
119,Gynecology,321,46,52,3,13,38,23,141,0,0,26,19,12,0,17,0,0,1,0,4,0,0,0,6,1,6,0,96,0,0
120,Oncology,70,46,625,9,5,25,13,36,0,0,14,29,11,17,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.119489724,0
121,Gynecology,150,46,56,6,10,21,9,61,0,2,12,26,11,0,12,0,0,3,0,0,3,2,0,4,1,24,0,51,0,0
122,Oncology,134,45,49,4,8,17,12,26,0,2,14,16,16,0,139.8461538,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0
123,Oncology,238,45,53,5,12,24,20,32,0,0,26,16,28,0.5,30.88461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124,Gynecology,301,45,126,9,11,33,20,59,8,25,21,26,11,1.5,109.6818182,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
125,Oncology,73,45,50,2,11,10,5,23,0,1,8,15,7,0,140.8965517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Oncology,206,45,51,4,15,21,15,34,0,0,18,13,20,0,126.625,247.2,0,0,0,0,4,0,0,0,1,0,0,13,0,0
127,Gynecology,381,44,185,8,11,26,18,10,0,0,20,19,33,12.7,100.2,0,0,0,0,0,0,0,0,4,1,3,0,0,0,1
128,Oncology,170,44,45,3,13,14,12,47,0,0,15,12,25,0.5,73.70588235,0,0,0,0,0,0,0,0,5,1,0,0,1,0,1
129,Oncology,102,44,279,9,6,27,14,49,0,5,15,25,6.5,8,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0.119489724,0
130,Oncology,268,44,48,3,13,23,16,55,0,2,18,23,12,0,0,0,3,0,0,4,0,0,0,5,1,1,0,10,0,0
131,Oncology,358,44,48,2,8,24,12,40,0,0,14,25,15,0.2,0,0,2,0,0,8,0,0,0,0,1,0,0,94,0,0
132,Oncology,72,44,238,9,6,23,16,33,0,0,22,22,5,6,50.625,0,0,0,0,3,0,0,0,0,0,0,0,0,0.119520958,0
133,Oncology,43,44,44,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Gynecology,233,44,47,5,14,24,19,233,0,6,19,24,22,0.5,40.88235294,0,10,0,1,4,0,0,0,5,1,0,0,98,0,1
135,Oncology,297,43,49,4,21,31,26,53,0,0,28,16,15.5,3.6,0,0,0,0,0,0,3,0,0,3,1,0,0,56,0,0
136,Oncology,131,43,67,7,7,18,11,33,3,13,14,24,8.5,0.5,83.65625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
137,Gynecology,190,43,147,9,13,29,19,29,0,1,23,17,3,1.5,0,0,0,0,0,0,6,0,0,1,0,0,0,31,0,1
138,Oncology,80,43,45,5,9,17,8,9,1,0,10,16,12,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Oncology,78,42,140,7,0,20,11,22,0,0,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Oncology,225,42,123,9,9,24,15,16,0,12,19,21,23.5,1,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Oncology,76,42,473,9,7,30,24,19,0,0,30,13,20,7.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.119520958,0
142,Oncology,256,42,51,7,9,18,12,19,0,0,17,22,15,0,44.47368421,0,0,0,0,0,3,0,20,0,0,0,1,12,0,1
143,Gynecology,167,42,52,5,6,22,16,44,0,0,19,17,23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,47,0,0
144,Oncology,273,42,49,6,17,31,19,106,0,0,20,23,25,3.5,12.5,18.33333333,0,0,0,0,7,0,0,0,1,0,0,6,0,1
145,Oncology,77,42,452,5,9,15,12,12,0,2,15,17,0,0,337.6538462,0,1,0,0,0,0,0,0,0,1,2,0,2,0.119489724,0
146,Oncology,64,41,179,9,2,23,14,26,0,0,17,21,1,0.5,43.66666667,0,0,0,0,7,0,0,0,5,1,0,0,14,0,1
147,Others,54,41,51,4,2,13,7,10,0,0,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Gynecology,164,41,46,4,22,29,24,17,0,0,29,12,8,0,25.69230769,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
149,Oncology,280,41,50,5,18,27,21,3,5,1,27,15,33,0,10.6,0,0,0,0,4,8,0,0,3,1,0,0,225,0,1
150,Gynecology,73,41,45,2,10,27,9,65,5,29,12,29,15.1,0.5,20.73913043,0,0,0,0,0,3,0,0,13,1,0,0,2,0,1
151,Oncology,138,41,56,6,2,14,4,20,0,3,8,25,7,2.3,43.17391304,25.6,0,0,0,12,6,0,0,9,1,9,0,16,0,0
152,Others,67,41,44,4,2,21,14,20,0,0,16,15,1,1,209.6428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Gynecology,184,41,46,4,15,32,20,59,0,0,22,18,10,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,Oncology,94,40,574,9,6,23,15,51,0,0,19,16,7,2,79.75,0,0,12,0,0,0,0,0,6,1,3,1,94,0.119520958,0
155,Oncology,137,40,49,5,14,23,15,84,0,1,21,19,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
156,Gynecology,127,40,44,5,7,19,15,31,0,0,17,11,4,1,0,0,0,0,0,0,0,0,0,8,1,3,0,61,0,0
157,Others,76,40,47,3,0,13,3,26,0,0,6,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
158,Gynecology,223,40,45,5,25,33,29,9,11,0,33,9,53,0.5,11.97435897,0,0,0,0,0,0,0,0,5,1,0,0,23,0,1
159,Oncology,411,40,47,4,12,23,17,39,15,0,19,21,12,0,78.8,0,0,0,0,8,0,0,0,1,1,0,0,70,0,0
160,Gynecology,160,40,48,5,14,25,18,68,1,15,21,12,16,1,0,0,0,0,0,0,0,0,0,8,1,1,0,71,0,0
161,Oncology,158,40,43,3,12,14,10,46,0,8,10,12,20,0,87.125,0,0,0,0,0,0,0,0,0,1,0,0,59,0,0
162,Others,252,40,43,4,8,25,20,13,1,7,23,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,Oncology,146,40,44,5,14,16,10,23,0,0,15,11,28,0,29.33333333,0,0,0,0,0,2,0,0,0,1,0,0,85,0,1
164,Oncology,245,39,50,4,10,33,17,4,0,0,18,22,8.5,0.2,147.2727273,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0
165,Gynecology,293,39,43,6,20,25,19,63,5,0,22,16,16,3.6,11.14285714,0,0,0,0,0,0,0,0,9,1,0,1,63,0,1
166,Oncology,136,39,47,5,16,16,11,109,0,5,15,19,32,1,10.85294118,0,0,0,0,4,8,0,0,0,1,0,0,35,0,1
167,Gynecology,265,38,52,5,15,25,12,35,0,0,13,20,31,0,23,0,0,0,3,4,0,0,0,3,1,0,0,107,0,1
168,Gynecology,180,38,39,4,4,15,12,20,0,6,17,22,76,0,9.666666667,0,0,0,0,0,0,0,0,4,1,0,0,23,0,0
169,Oncology,268,38,50,5,17,4,3,72,3,5,21,10,12,5.2,14.2,0,0,2,0,0,3,0,0,1,0,1,0,124,0,0
170,Oncology,113,38,47,5,16,16,10,22,3,0,18,18,27,1,27.32051282,63.69230769,0,0,0,0,5,0,0,0,1,0,0,0,0,1
171,Gynecology,230,37,44,4,15,22,17,44,0,0,18,16,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
172,Others,211,37,38,3,5,26,19,45,0,0,19,13,8,1,23.5,0,0,0,0,0,0,0,0,3,1,0,1,1,0,1
173,Oncology,75,37,169,8,8,24,12,12,0,5,12,22,9,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0.119489724,0
174,Gynecology,150,37,38,3,9,16,8,52,0,0,12,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0
175,Gynecology,133,37,44,4,3,18,10,14,0,0,13,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Oncology,102,37,601,9,2,21,13,38,0,0,14,18,12.5,5.5,0,0,21,0,0,0,0,0,0,2,1,0,1,34,0.119489724,0
177,Oncology,94,37,292,5,5,9,7,52,0,8,10,6,0,0,380,0,0,0,1,4,6,0,0,5,1,1,0,0,0,1
178,Oncology,177,37,43,4,14,14,8,47,30,0,12,19,25.5,0,22.36363636,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1
179,Oncology,96,37,620,9,3,14,8,34,0,5,12,25,6.5,9.5,345,0,0,0,0,0,1,0,10,0,1,0,0,12,0.119520958,0
180,Oncology,100,37,671,9,4,17,7,62,0,0,13,25,6.1,9,105.4,31.71428571,0,0,0,4,0,0,10,4,1,3,0,2,0,1
181,Oncology,57,37,1258,9,2,19,7,25,0,0,8,22,10.5,4.5,0,0,1,0,0,0,3,0,10,2,1,0,1,29,0.119520958,0
182,Gynecology,89,37,43,4,9,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Oncology,60,36,435,9,6,28,21,9,0,0,26,13,4,2.5,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
184,Gynecology,254,36,40,5,5,25,10,98,0,0,12,24,7,2.1,124.8,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0
185,Oncology,294,36,47,5,15,20,17,120,0,0,20,16,22,0.1,34.5,0,50,0,0,0,4,0,0,2,1,0,0,8,0,0
186,Oncology,116,36,177,8,17,31,27,31,0,0,27,16,6,1.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.119489724,0
187,Others,36,36,335,9,0,13,8,25,0,0,10,20,2,1,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0.119489724,0
188,Oncology,97,36,581,9,4,15,11,15,0,23,13,20,0,0,0,0,10,0,0,0,6,0,11,2,1,2,0,44,0.119489724,1
189,Oncology,94,35,38,3,6,22,15,21,0,0,17,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
